Date,ppt (mm),tmin (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa),soltotal (MJ/m^2/day),DOY,ETo_mm_day,Daily_HU,Cumulative_HU
2026-04-01,3.29,8.0,21.2,0.92,19.93,11.07,91,4.390586110763603,10.079999999999998,10.079999999999998
2026-04-02,3.81,3.4,16.5,0.47,13.69,16.16,92,4.062632810942499,5.850000000000001,15.93
2026-04-03,0.0,2.4,18.3,1.79,15.65,21.3,93,4.456178610773808,7.469999999999999,23.4
2026-04-04,0.0,-2.7,14.0,1.8,15.34,26.43,94,4.137673889756141,3.6000000000000014,27.0
2026-04-05,0.0,-3.0,18.5,2.51,19.99,26.97,95,4.704039234304309,7.649999999999999,34.65
2026-04-06,0.0,0.8,22.5,3.5,26.95,26.99,96,5.239172784627537,11.25,45.9
2026-04-07,3.29,5.0,18.2,0.81,16.0,10.55,97,4.050345397975005,7.3799999999999955,53.279999999999994
2026-04-08,0.0,4.2,22.6,0.61,22.77,25.43,98,5.210397483977731,11.340000000000003,64.62
2026-04-09,0.0,4.2,24.7,3.2,28.53,26.47,99,5.510300407378975,13.229999999999997,77.85
2026-04-10,0.0,5.7,24.6,4.47,27.94,24.36,100,5.425498009398558,13.14,90.99
2026-04-11,0.0,7.2,22.2,5.28,22.31,17.86,101,4.891018925645238,10.979999999999997,101.97
2026-04-12,0.37,5.4,20.8,2.93,20.36,22.18,102,4.94351379717595,9.719999999999999,111.69
2026-04-13,0.0,3.4,19.4,2.84,18.96,21.48,103,4.730059076003686,8.46,120.15
2026-04-14,2.04,2.2,18.1,0.52,16.5,20.56,104,4.527869030806306,7.289999999999999,127.44
2026-04-15,0.0,-0.3,14.0,0.73,11.98,18.42,105,3.9343919043581463,3.6000000000000014,131.04
2026-04-16,0.0,0.2,18.8,1.49,19.31,27.52,106,4.940961942546311,7.920000000000002,138.95999999999998
2026-04-17,0.0,1.6,19.4,3.33,19.97,20.99,107,4.705753037688979,8.46,147.42
2026-04-18,0.0,-2.8,13.9,3.04,13.61,28.14,108,4.364275535354255,3.510000000000005,150.93
2026-04-19,0.0,-2.9,17.8,3.28,20.17,28.81,109,4.874296334037685,7.020000000000003,157.95000000000002
2026-04-20,0.0,0.3,23.4,4.43,26.2,26.03,110,5.465789261835331,12.060000000000002,170.01000000000002
2026-04-21,0.0,7.1,25.1,5.55,29.53,24.85,111,5.687230938110183,13.590000000000003,183.60000000000002
2026-04-22,0.0,6.7,24.6,5.14,27.95,27.23,112,5.774685246208284,13.14,196.74
2026-04-23,0.0,2.7,22.3,4.03,24.31,26.95,113,5.451670626676994,11.07,207.81
2026-04-24,0.0,3.0,20.3,4.56,21.86,29.24,114,5.375437434763144,9.270000000000003,217.08
2026-04-25,0.0,2.6,21.5,4.54,23.01,27.99,115,5.440154631003248,10.350000000000001,227.43
2026-04-26,0.96,4.9,19.0,3.51,17.68,18.11,116,4.6674040025482455,8.100000000000001,235.53
2026-04-27,0.8,2.2,14.5,2.07,12.57,16.17,117,4.029223120975483,4.049999999999997,239.57999999999998
2026-04-28,0.0,0.0,18.3,1.56,18.69,27.89,118,5.032875362481829,7.469999999999999,247.04999999999998
2026-04-29,0.0,0.5,20.8,3.4,21.96,29.63,119,5.4526139749034295,9.719999999999999,256.77
2026-04-30,0.0,3.5,22.8,4.92,24.78,29.79,120,5.772189172315559,11.520000000000003,268.28999999999996
2026-05-01,0.0,3.9,21.9,4.86,23.11,28.61,121,5.6170528266389175,10.71,278.99999999999994
2026-05-02,0.0,3.7,21.5,3.83,22.46,23.85,122,5.290537690391804,10.350000000000001,289.34999999999997
2026-05-03,0.0,3.9,22.9,3.7,24.23,29.72,123,5.82037227603966,11.61,300.96
2026-05-04,0.0,9.0,25.2,5.89,27.48,25.28,124,5.905546913116446,13.68,314.64
2026-05-05,0.0,8.3,20.8,3.98,20.15,18.36,125,5.026159845523179,9.719999999999999,324.36
2026-05-06,2.36,4.1,17.5,3.15,13.96,20.92,126,4.725377757792173,6.75,331.11
2026-05-07,0.0,2.7,22.4,3.48,23.07,27.58,127,5.644620800384721,11.159999999999997,342.27
2026-05-08,0.0,4.2,24.5,4.47,28.16,30.64,128,6.123385232406753,13.049999999999997,355.32
2026-05-09,0.0,7.1,29.7,7.23,38.09,30.23,129,6.760829527613638,17.5,372.82
2026-05-10,0.0,8.9,30.3,7.81,39.76,29.65,130,6.804450542333567,17.5,390.32
2026-05-11,0.0,6.2,28.8,7.19,37.03,31.08,131,6.73183943247078,16.92,407.24
2026-05-12,0.0,6.3,31.7,6.9,44.08,31.1,132,7.106331297925012,17.5,424.74
2026-05-13,0.0,10.7,32.3,9.54,44.84,29.22,133,7.034007056697611,18.129999999999995,442.87
2026-05-14,0.0,9.2,30.5,8.44,39.11,25.68,134,6.614714240461509,17.5,460.37
2026-05-15,0.0,8.2,28.3,7.11,34.57,31.03,135,6.708497167490955,16.47,476.84000000000003
2026-05-16,0.0,10.1,29.9,8.3,37.92,30.54,136,6.876909714367611,17.590000000000003,494.43000000000006
2026-05-17,0.0,9.4,28.0,7.66,34.03,30.86,137,6.690941182522411,16.200000000000003,510.63000000000005
2026-05-18,0.0,8.7,25.2,6.14,28.23,29.17,138,6.2722224699449205,13.68,524.3100000000001
2026-05-19,0.0,5.0,21.3,3.56,20.32,28.1,139,5.692311693432112,10.170000000000002,534.48
2026-05-20,0.0,4.8,23.2,4.35,24.15,30.48,140,6.06668234846949,11.879999999999995,546.36
2026-05-21,0.0,5.5,24.7,5.6,27.52,31.2,141,6.311753365657244,13.229999999999997,559.59
2026-05-22,0.0,6.8,26.7,6.87,32.58,31.6,142,6.601849793669386,15.030000000000001,574.62
2026-05-23,0.0,7.8,27.4,7.28,33.53,27.53,143,6.429673246554378,15.659999999999997,590.28
2026-05-24,0.0,8.6,28.6,7.48,35.44,29.8,144,6.734927484344056,16.74000000000001,607.02
2026-05-25,0.0,11.8,29.6,8.2,37.45,29.82,145,6.876882539678436,19.120000000000005,626.14
2026-05-26,1.27,10.6,23.1,2.71,19.85,13.14,146,5.066427301313399,12.329999999999998,638.47
2026-05-27,0.0,9.1,25.2,2.82,27.64,24.85,147,6.043156866839172,13.68,652.15
2026-05-28,0.0,9.2,26.0,6.7,30.54,31.82,148,6.61086115159002,14.400000000000006,666.55
2026-05-29,0.0,8.2,26.3,6.25,31.38,31.62,149,6.6185164029641035,14.670000000000002,681.2199999999999
2026-05-30,0.0,5.3,22.7,4.26,23.34,27.65,150,5.881852526635654,11.43,692.6499999999999
2026-05-31,0.0,5.2,24.5,4.45,26.46,31.71,151,6.370535413566879,13.049999999999997,705.6999999999998
2026-06-01,0.0,7.5,29.0,6.38,36.36,31.86,152,6.959764247562853,17.099999999999994,722.7999999999998
2026-06-02,0.0,9.3,30.2,8.49,39.89,31.21,153,7.070219951929708,17.5,740.2999999999998
2026-06-03,0.0,13.1,31.6,10.75,42.4,31.3,154,7.244609728186934,20.289999999999992,760.5899999999998
2026-06-04,0.0,13.0,33.0,9.96,46.57,30.86,155,7.3693708634142565,20.200000000000003,780.7899999999998
2026-06-05,0.0,14.1,33.2,11.1,47.7,31.01,156,7.401006367257359,21.189999999999998,801.9799999999998
2026-06-06,0.0,14.2,34.6,12.23,51.49,31.56,157,7.589560295096253,21.28,823.2599999999998
2026-06-07,0.0,14.8,32.8,12.75,45.32,31.17,158,7.37696609168954,21.819999999999993,845.0799999999997
2026-06-08,0.0,12.2,28.7,8.92,34.62,22.7,159,6.358008952111258,18.810000000000002,863.8899999999996
2026-06-09,0.0,11.7,30.8,8.84,41.0,31.74,160,7.207061173831074,19.03,882.9199999999996
2026-06-10,0.0,10.8,31.8,9.72,43.9,32.13,161,7.348569642775008,18.22,901.1399999999996
2026-06-11,0.0,11.8,34.1,10.47,49.73,32.15,162,7.61279161961157,19.120000000000005,920.2599999999996
